Fulltime Business Week Ranking,School Name,State,Type,Enrollment,Avg GMAT,"Resident Tuition, Fees",Pct International,Pct Female,Pct Asian American,Pct Minority,Pct with job offers,Avg starting base salary
Second Tier,Ohio State University,Ohio,Public,274,674,47277,33,27,13,7,79,89584
Second Tier,Purdue University,Indiana,Public,293,662,37700,45,27,13,6,83,83614
Second Tier,Thunderbird School of Global Management,Arizona,Private,589,610,78255,45,32,7,9,51,84295
Second Tier,"University of California, Irvine",California,Public,204,675,55629,40,37,18,1,62,81500
Second Tier,University of Connecticut,Connecticut,Public,119,627,21188,38,25,5,9,57,95120
Second Tier,University of Iowa,Iowa,Public,140,653,29224,38,29,2.4,4.8,86,82380
Second Tier,University of Minnesota ,Minnesota,Public,199,663,58387,19,32,6,5,84,87539
Second Tier,University of Rochester,New York,Private,350,675,80010,55,33,15,26,80,18712
Not Ranked,American University,Washington D.C.,Private,137,,,,,,,,
Not Ranked,Boston College,Massachusetts,Private,202,661,66604,20,36,9,3.5,83,87140
Not Ranked,Case Western Reserve University,Ohio,Private,163,606,70666,46,37,7,22,60,84671
Not Ranked,College of William and Mary,Virginia,Public,175,601,42800,37,30,0,9,88,78222
Not Ranked,Florida International University,Florida,Public,84,560,30490,39,49,4,59,37,49770
Not Ranked,Fordham University,New York,Private,337,610,69878,20,29,9,5,,77659
Not Ranked,Howard University,Washington D.C.,Private,86,557,36380,27,56,3,97,78,80525
Not Ranked,Northeastern University,Massachusetts,Private,154,609,72198,41,45,10,3,68,72061
Not Ranked,Pepperdine University,California,Private,294,637,73630,36,43,25,4,34,75711
Not Ranked,Rice University,Texas,Private,250,667,76500,29,37,18,11,74,93006
Not Ranked,Rutgers University,New Jersey,Private,160,643,45061,27,38,19,9,62,83092
Not Ranked,Texas A & M,Texas,Public,164,643,25603,26,21,13,16,91,86700
Not Ranked,Texas Christian University,Texas,Private,94,610,58500,25,26,,6,65,71153
Not Ranked,The Pennsylvania State University,Pennsylvania,Public,187,646,38036,33,38,8,13,91,87444
Not Ranked,The University of Tennessee at Knoxville,Tennessee,Public,151,615,23612,12,25,0,6,87,71932
Not Ranked,Tulane University,Louisiana,Private,131,654,74900,38,23,4,18,85,83558
Not Ranked,University at Buffalo ,New York,Public,176,619,18156,30,30,13,1,54,55276
Not Ranked,University of Arizona,Arizona,Public,139,622,31668,32,27,,5,46,77376
Not Ranked,University of Colorado at Denver,Colorado,Public,33,574,31606,7,42,0,7,30,
Not Ranked,University of Florida,Florida,Public,142,677,17132,23,32,4,11,85,76559
Not Ranked,University of Georgia,Georgia,Public,140,,,,,,,,
Not Ranked,University of Miami,Florida,Private,199,631,68626,32,36,19,21,49,62567
Not Ranked,University of Pittsburgh,Pennsylvania,Public,234,626,36836,48,31,1.5,7,72,75454
Not Ranked,University of Wisconsin-Madison,Wisconsin,Public,231,666,22957,13,30,6,9,84,88626
Not Ranked,Wake Forest University,North Carolina,Private,149,629,70600,15,33,8,8,82,79392
